Time(ms),Voltage(V)
455301,0.18
456301,0.18
457302,0.18
458302,0.18
459303,0.18
460304,0.18
461304,0.18
462305,0.18
463305,0.18
464307,0.18
465307,0.18
466308,0.19
467308,0.18
468310,0.19
469310,0.19
470310,0.19
471311,0.19
472311,0.19
473313,0.18
474313,0.18
475314,0.18
476314,0.18
477316,0.18
478316,0.18
479316,0.18
480317,0.18
481317,0.18
482319,0.18
483319,0.18
484320,0.18
485320,0.18
486322,0.18
487322,0.18
488323,0.18
489323,0.18
490323,0.18
491325,0.18
492325,0.18
493326,0.18
494326,0.18
495328,0.18
496328,0.18
497329,0.18
498329,0.18
499331,0.18
500331,0.18
501331,0.18
502332,0.18
503332,0.18
504334,0.18
505334,0.18
506335,0.18
507335,0.18
508337,0.18
509337,0.18
510338,0.18
511338,0.18
512338,0.18
513340,0.18
514340,0.18
515341,0.18
516341,0.18
517343,0.18
518343,0.18
519344,0.18
520344,0.18
521345,0.18
522346,0.18
523346,0.18
524347,0.18
525347,0.18
526349,0.18
527349,0.18
528350,0.18
529350,0.18
530351,0.18
531352,0.18
532353,0.18
533353,0.18
534353,0.18
535355,0.18
536355,0.18
537356,0.18
538356,0.18
539357,0.18
540358,0.18
541359,0.18
542359,0.18
543360,0.18
544361,0.18
545361,0.18
546362,0.18
547362,0.18
548364,0.18
549364,0.18
550365,0.19
551365,0.18
552366,0.18
553367,0.18
554368,0.18
555368,0.18
556368,0.18
557370,0.18
558370,0.18
559371,0.18
560371,0.18
561372,0.18
562373,0.18
563374,0.18
564374,0.18
565374,0.18
566376,0.18
567376,0.18
568377,0.18
569377,0.18
570378,0.18
571379,0.18
572380,0.18
573380,0.20
574381,0.18
575382,0.19
576382,0.19
577383,0.19
578383,0.19
579385,0.19
580385,0.19
581386,0.19
582386,0.19
583387,0.19
584388,0.19
585389,0.19
586389,0.19
587389,0.19
588391,0.19
589391,0.19
590392,0.19
591392,0.19
592393,0.19
593394,0.19
594395,0.18
595395,0.19
596396,0.18
597397,0.18
598397,0.19
