Time(ms),Voltage(V)
0,0.10
1000,0.11
2000,0.10
3001,0.11
4001,0.11
5002,0.12
6003,0.11
7004,0.11
8004,0.12
9005,0.12
10005,0.13
11005,0.12
12006,0.13
13007,0.13
14008,0.13
15008,0.13
16009,0.14
17009,0.15
18011,0.14
19011,0.15
20012,0.15
21012,0.15
22012,0.15
23013,0.15
24014,0.15
25015,0.16
26015,0.16
27016,0.16
28016,0.16
29018,0.16
30018,0.17
31019,0.17
32019,0.17
33019,0.17
34021,0.18
35021,0.18
36022,0.18
37022,0.18
38023,0.19
39023,0.19
40025,0.18
41025,0.18
42025,0.19
43026,0.19
44026,0.19
45028,0.19
46028,0.20
47029,0.19
48029,0.20
49030,0.20
50030,0.20
51032,0.20
52032,0.21
53032,0.21
54033,0.21
55033,0.21
56035,0.21
57035,0.21
58036,0.22
59036,0.21
60037,0.22
61037,0.22
62039,0.22
63039,0.22
64039,0.22
65040,0.22
66040,0.23
67042,0.22
68042,0.23
69043,0.23
70043,0.23
71044,0.23
72044,0.23
73046,0.23
74046,0.24
75046,0.23
76047,0.24
77047,0.24
78049,0.24
79049,0.24
80050,0.24
81050,0.25
82051,0.24
83051,0.25
84052,0.25
85053,0.25
86053,0.26
87054,0.26
88054,0.26
89056,0.26
90056,0.26
91057,0.26
92057,0.26
93058,0.26
94058,0.26
95059,0.26
96060,0.26
97060,0.27
98061,0.27
99061,0.27
100063,0.27
101063,0.28
102064,0.28
103064,0.27
104065,0.27
105066,0.28
106066,0.28
107067,0.28
108067,0.28
109069,0.28
110069,0.28
111070,0.28
112070,0.29
113071,0.29
114072,0.29
115073,0.29
116073,0.29
117073,0.29
118075,0.30
119075,0.29
120076,0.29
121076,0.30
122078,0.30
123078,0.30
124079,0.31
125079,0.30
126080,0.30
127081,0.31
128081,0.31
129082,0.31
130082,0.31
131084,0.31
132084,0.32
133085,0.31
134085,0.32
135086,0.32
136087,0.31
137088,0.32
138088,0.32
139088,0.32
140090,0.32
141090,0.32
142091,0.32
143091,0.32
144092,0.33
145093,0.33
146094,0.33
147094,0.33
148094,0.33
149096,0.33
150096,0.34
151097,0.33
152097,0.34
153099,0.34
154099,0.33
155100,0.34
156100,0.34
157101,0.34
158102,0.35
159102,0.34
160103,0.34
161103,0.35
162105,0.35
163105,0.35
164106,0.35
165106,0.35
166107,0.36
167108,0.36
168109,0.36
169109,0.36
170109,0.36
171111,0.36
172111,0.36
173112,0.36
174112,0.36
175113,0.37
176114,0.37
177115,0.37
178115,0.37
179116,0.37
180117,0.37
181117,0.37
182118,0.37
183118,0.37
184120,0.38
185120,0.37
186121,0.38
187121,0.38
188122,0.38
189123,0.39
190124,0.38
191124,0.38
192124,0.39
193126,0.39
194126,0.39
195127,0.39
196127,0.39
197128,0.39
198129,0.39
199130,0.39
200130,0.39
201131,0.39
202132,0.39
203132,0.39
204133,0.40
205133,0.39
206134,0.39
207135,0.40
208136,0.40
209136,0.40
210137,0.40
211138,0.40
212139,0.40
213139,0.40
214139,0.40
215140,0.41
216141,0.41
217142,0.41
218142,0.40
219143,0.41
220144,0.41
221145,0.41
222145,0.41
223145,0.42
224147,0.41
225147,0.42
226148,0.42
227148,0.42
228149,0.42
229150,0.42
230151,0.42
231151,0.43
232152,0.42
233153,0.43
234153,0.42
235154,0.42
236154,0.42
237155,0.43
238156,0.43
239157,0.43
240157,0.43
241158,0.43
242159,0.43
243160,0.42
244160,0.44
245160,0.44
246162,0.44
247162,0.43
248163,0.44
249163,0.43
250164,0.44
251165,0.44
252166,0.44
253166,0.44
254167,0.44
255168,0.44
256168,0.45
257169,0.44
258169,0.45
259170,0.45
260171,0.44
261172,0.45
262172,0.45
263173,0.45
264174,0.45
265175,0.45
266175,0.45
267175,0.45
268176,0.46
269177,0.46
270178,0.46
271178,0.46
272179,0.46
273180,0.47
274181,0.46
275181,0.46
276182,0.47
277182,0.47
278183,0.47
279184,0.47
280184,0.46
281185,0.47
282186,0.47
283187,0.47
284187,0.47
285188,0.47
286189,0.48
287190,0.48
288190,0.48
289190,0.48
290191,0.48
291192,0.47
292193,0.48
293193,0.48
294194,0.48
295195,0.48
296196,0.48
297196,0.49
298196,0.48
299197,0.49
300198,0.49
301199,0.49
302199,0.49
303200,0.49
304201,0.49
305202,0.50
306202,0.50
307203,0.50
308203,0.49
309204,0.49
310205,0.50
311205,0.50
312206,0.50
313207,0.50
314208,0.50
315208,0.50
316209,0.50
317209,0.51
318211,0.51
319211,0.51
320211,0.51
321212,0.51
322213,0.51
323214,0.51
324214,0.51
325215,0.52
326216,0.51
327217,0.51
328217,0.52
329218,0.51
330218,0.52
331219,0.51
332220,0.52
333220,0.51
334221,0.52
335222,0.52
336223,0.52
337223,0.52
338224,0.52
339224,0.52
340226,0.53
341226,0.53
342226,0.53
343227,0.53
344228,0.53
345229,0.53
346229,0.52
347230,0.53
348231,0.53
349232,0.53
350232,0.54
351233,0.53
352233,0.53
353234,0.53
354235,0.53
355235,0.54
356236,0.54
357237,0.54
358238,0.54
359238,0.54
360239,0.55
361239,0.54
362241,0.54
363241,0.55
364241,0.55
365242,0.55
366243,0.54
367244,0.55
368244,0.55
369245,0.55
370245,0.55
371247,0.54
372247,0.55
373248,0.55
374248,0.55
375249,0.56
376250,0.56
377250,0.55
378251,0.56
379252,0.56
380253,0.56
381253,0.56
382254,0.56
383254,0.56
384256,0.57
385256,0.56
386256,0.57
387257,0.56
388258,0.57
389259,0.57
390259,0.57
391260,0.57
392260,0.57
393262,0.57
394262,0.57
395262,0.57
396263,0.58
397264,0.57
398265,0.57
399265,0.57
400266,0.58
401267,0.57
402268,0.58
403268,0.58
404269,0.58
405269,0.58
406270,0.58
407271,0.58
408271,0.58
409272,0.58
410273,0.59
411274,0.58
412274,0.59
413275,0.59
414275,0.59
415277,0.59
416277,0.59
417277,0.59
418278,0.59
419279,0.59
420280,0.59
421280,0.59
422281,0.60
423281,0.59
424283,0.60
425283,0.59
426284,0.60
427284,0.60
428285,0.60
429286,0.60
430286,0.60
431287,0.60
432287,0.60
433289,0.60
434289,0.60
435290,0.60
436290,0.60
437292,0.61
438292,0.61
439292,0.61
440293,0.61
441294,0.61
442295,0.61
443295,0.61
444296,0.61
445296,0.62
446298,0.62
447298,0.61
448299,0.62
449299,0.62
450300,0.61
451301,0.61
452301,0.62
453302,0.62
454302,0.62
455304,0.62
456304,0.62
457305,0.62
458305,0.63
459307,0.63
460307,0.63
461307,0.63
462308,0.62
463309,0.63
464310,0.63
465310,0.63
466311,0.63
467311,0.63
468313,0.63
469313,0.63
470313,0.63
471314,0.63
472315,0.63
473316,0.63
474316,0.64
475317,0.64
476317,0.63
477319,0.64
478319,0.64
479320,0.64
480320,0.64
481321,0.64
482322,0.64
483322,0.64
484323,0.64
485323,0.64
486325,0.64
487325,0.65
488326,0.64
489326,0.65
490328,0.65
491328,0.65
492328,0.65
493329,0.65
494330,0.65
495331,0.65
496331,0.65
497332,0.65
498332,0.65
499334,0.65
500334,0.65
501335,0.65
502335,0.65
503336,0.65
504337,0.66
505337,0.66
506338,0.65
507338,0.65
508340,0.66
509340,0.65
510341,0.66
511341,0.65
512343,0.66
513343,0.66
514343,0.65
515344,0.66
516345,0.66
517346,0.67
518346,0.66
519347,0.67
520347,0.67
521349,0.66
522349,0.67
523350,0.67
524350,0.67
525351,0.67
526352,0.67
527352,0.67
528353,0.67
529353,0.67
530355,0.68
531355,0.67
532356,0.68
533356,0.68
534358,0.67
535358,0.68
536358,0.68
537359,0.68
538360,0.68
539361,0.68
540361,0.68
541362,0.68
542362,0.68
543364,0.69
544364,0.69
545364,0.68
546365,0.68
547366,0.68
548367,0.68
549367,0.69
550368,0.69
551368,0.69
552370,0.68
553370,0.69
554371,0.69
555371,0.70
556372,0.69
557373,0.69
558373,0.69
559374,0.69
560374,0.69
561376,0.69
562376,0.69
563377,0.70
564377,0.70
565379,0.70
566379,0.70
567379,0.70
568380,0.69
569381,0.70
570382,0.70
571382,0.70
572383,0.70
573383,0.70
574385,0.70
575385,0.70
576386,0.70
577386,0.70
578387,0.70
579388,0.70
580388,0.71
581389,0.71
582389,0.70
583391,0.71
584391,0.71
585392,0.71
586392,0.71
587394,0.71
588394,0.71
589394,0.72
590395,0.71
591396,0.71
592397,0.71
593397,0.72
594398,0.72
595398,0.71
596400,0.72
597400,0.72
598401,0.72
